Product Code,Product Name,Qty / Box,Case Available,Stock Available per pcs,Per Case,Rate,Stock-Sold
SP10E,10cm Electric Sparklers,10 Pcs,3,900,300,16,
SP10C,10cm Coloured Sparklers,10 Pcs,2,600,300,17,
SP10G,10cm Green Sparklers,10 Pcs,2,600,300,19,
SP10R,10cm Ruby Red Sparklers,10 Pcs,2,600,300,21,
SP10RG,10cm Red and Green Sparklers,10 Pcs,2,600,300,21,
SP12E,12cm Electric Sparklers,10 Pcs,3,900,300,19,
SP12C,12cm Coloured Sparklers,10 Pcs,2,600,300,21,
SP12G,12cm Green Sparklers,10 Pcs,3,900,300,23,
SP12R,12cm Red Sparklers,10 Pcs,3,900,300,25,
SP12RG,12cm Red and Green Sparklers,10 Pcs,3,900,300,25,
SP15E,15cm Electric Sparklers,10 Pcs,3,600,200,30,
SP15C,15cm Coloured Sparklers,10 Pcs,2,400,200,32,
SP15G,15cm Green Sparklers,10 Pcs,3,600,200,35,
SP15R,15cm Red Sparklers,10 Pcs,2,400,200,38,
SP15RG,15cm Red and Green Sparklers,10 Pcs,2,400,200,39,
SP30E,30cm Electric Sparklers,5 Pcs,2,400,200,30,
SP30C,30cm Coloured Sparklers,5 Pcs,2,400,200,32,
SP30G,30cm Green Sparklers,5 Pcs,2,400,200,34,
SP30R,30cm Red Sparklers,5 Pcs,2,400,200,37,
SP30RG,30cm Red and Green Sparklers,5 Pcs,2,400,200,38,
SP30E10,30cm Electric Sparklers (10 Pcs),10 Pcs,2,200,100,60,
SP30C10,30cm Coloured Sparklers (10 Pcs),10 Pcs,2,200,100,70,
SP30M10,30cm Sparklers (10 Pcs),10 Pcs,2,200,100,80,
SP30MC10,30cm Multicolour Sparklers (10 Pcs),10 Pcs,2,200,100,90,
SHOWER,Shower (3 varieties),5Pcs BOX,2,240,120,100,
ASHRAFI,Ashrafi Mix (5 varieties),3Pcs BOX,2,180,90,115,
LETS,Let's Party (4 varieties),1 Pcs,1,72,72,120,
KUKOO,Kukoo Dance,1 Pcs,2,96,48,195,
TS,1 1/2 Twinkling Star,10 Pcs,1,,500,17,
TS4,"4"" Twinkling Star",10 Pcs,1,,200,49,
RB50,Red Bijili (Graviar),50 Pcs,1,,500,13,
RB100,Red Bijili (Graviar),100 Pcs,1,,300,25,
MRB,Mega Bijili (NEW),75 Pcs,1,,200,42,
SevenShot,Seven Shot,5 Pcs,1,,120,70,
PentaStar,Penta Star,5 Pcs,1,,120,115,
Helicopter,Helicopter,5 Pcs,1,,150,70,
Bampara,Bampara,10 Pcs,1,,150,85,
WRocket,Whistling Rocket,5 Pcs,1,,80,80,
ChotaFancy,Chota Fancy,1 Pcs,1,,250,30,
2FANCY3,"2""Fancy(3pcs)",3 Pcs,1,,30,195,
2FANCY,"2""Fancy Single",1 Pcs,1,,60,85,
25FANCY,"21/2"" Fancy Single",1 Pcs,1,,60,105,
3FANCY,"3"" Fancy",1 Pcs,1,,30,170,
35FANCY,"31/2"" Fancy Single",1 Pcs,1,,30,190,
35FANCYNF,"31/2"" Fancy Single Nayagara Falls",1 Pcs,1,,30,210,
4FANCY,"4"" Fancy Single",1 Pcs,1,,20,240,
4FANCYD,"4"" Fancy Single Double Ball",1 Pcs,1,,20,340,
4FANCY2,"4"" Fancy Single (2Pcs)",2 Pcs,1,,8,550,
12HEXA,12 shot,1 Pcs,1,,36,120,
12S,12 shot Crackling,1 Pcs,1,,36,140,
30S,30 Shot Multicolors,1 Pcs,1,,24,320,
60S,60 Shot Multicolors,1 Pcs,1,,12,630,
120S,120 Shot Multicolors,1 Pcs,1,,6,1260,
200S,200 Shot Multicolors,1 Pcs,1,,4,2200,
240S,240 Shot Multicolors,1 Pcs,1,,4,2600,
1KS,1k Short,1 Pcs,1,,36,100,
2KS,2k Short,1 Pcs,1,,20,200,
5KS,5k Short,1 Pcs,1,,8,500,
10KS,10k Short,1 Pcs,1,,5,1000,
1KF,1k Full,1 Pcs,1,,36,190,
2KF,2k Full,1 Pcs,1,,20,380,
5KF,5k Full,1 Pcs,1,,8,950,
10KF,10k Full,1 Pcs,1,,5,1900,
1KFS,1k Full Special,1 Pcs,1,,36,230,
2KFS,2k Full Full Special,1 Pcs,1,,20,460,
5KFS,5k Full Special,1 Pcs,1,,8,1150,
10KFS,10k Full Special,1 Pcs,1,,5,2300,
MiniPearl,Mini Pearl,5 Pcs,1,,40,138,
TimTim,Tim Tim,5 Pcs,1,,20,166,
KoKo,Ko Ko,5 Pcs,1,,20,170,
MB43,10's Durga's Color Diamond 3 in 1,3 Pcs,1,,60,43,
MB75,10's Durga's Color Unicorn 10 in 1,10 Pcs,1,,40,75,
MB120,10's Durga's Color Spiderman 5 in 1,10 Pcs,1,,20,120,
